Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
LONDRINA;2º Juizado Especial Cível e Criminal;1;6;1;8
LONDRINA;5º Juizado Especial Cível e Criminal;2;5;1;8
LONDRINA;Vara da Infância e da Juventude;0;6;1;7
LONDRINA;1ª Vara da Fazenda Pública;1;4;1;6
LONDRINA;1ª Vara de Execuções Fiscais;2;4;0;6
LONDRINA;2ª Vara Criminal;1;4;1;6
LONDRINA;2ª Vara de Execuções Fiscais;0;6;0;6
LONDRINA;1º Juizado Especial da Fazenda Pública;0;7;0;7
MALLET;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
MAMBORÊ;Juízo Único;1;2;0;3
MANDAGUAÇU;Juízo Único;2;7;1;10
MANDAGUARI;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;6;0;7
MANGUEIRINHA;Juízo Único;1;3;1;5
MANOEL RIBAS;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;0;2
MARECHAL CÂNDIDO RONDON;Vara Criminal;0;7;0;7
MARECHAL CÂNDIDO RONDON;Juizado Especial Cível, Criminal e da Fazenda Pública;0;4;1;5
MARECHAL CÂNDIDO RONDON;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;1;6
MARIALVA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
MARILÂNDIA DO SUL;Juízo Único;0;4;0;4
MARINGÁ;2ª Vara de Família e Sucessões e Acidentes do Trabalho;1;4;1;6
MARINGÁ;5º Juizado Especial da Fazenda Pública;1;4;1;6
MARINGÁ;4ª Vara Criminal;1;4;0;5
MARINGÁ;Vara da Infância e Juventude;2;4;1;7
MARINGÁ;1ª Vara Criminal;1;4;0;5
MARINGÁ;2ª Vara Criminal;1;3;1;5
MARINGÁ;3ª Vara Criminal;0;5;0;5
MARINGÁ;1ª Vara de Família e Sucessões, Registros Públicos e Corregedoria do Foro Extrajudicial;1;6;0;7
MARINGÁ;4ª Vara Cível;1;8;0;9
MARINGÁ;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;1;11;0;12
MARINGÁ;7ª Vara Cível;1;7;1;9
MARINGÁ;1º Juizado Especial Cível e Criminal;1;7;1;9
MARINGÁ;3º Juizado Especial Cível e Criminal;1;8;1;10
MARINGÁ;2º Juizado Especial Cível e Criminal;1;8;1;10
MARINGÁ;4º Juizado Especial Cível e Criminal;1;8;1;10
MARINGÁ;Vara de Execuções Penais, Medidas Alternativas e Corregedoria dos Presídios;1;6;1;8
MARINGÁ;1ª Vara da Fazenda Pública;0;10;1;11
