Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
MARINGÁ;2ª Vara da Fazenda Pública;2;8;1;11
MARMELEIRO;Juízo Único;0;8;1;9
MATELÂNDIA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;4;1;5
MATINHOS;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;5;1;7
MEDIANEIRA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;4;0;4
MORRETES;Juízo Único - Crime e Anexos e Juizados Especiais;0;5;1;6
NOVA AURORA;Juízo Único;1;3;1;5
NOVA ESPERANÇA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
NOVA ESPERANÇA;Vara Criminal, Infância e Juventude e Família e Sucessões;0;4;0;4
NOVA ESPERANÇA;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;0;5
NOVA FÁTIMA;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
NOVA LONDRINA;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
ORTIGUEIRA;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
PAIÇANDU;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;1;2;0;3
PAIÇANDU;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;5;1;7
PALMAS;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;0;0;0
PALMEIRA;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
PALMITAL;Juízo Único - Crime e Anexos, Juizados Especiais e Distribuidor;1;4;0;5
PALOTINA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
PARAÍSO DO NORTE;Juízo Único - Crime e Anexos, Juizados Especiais e Distribuidor;1;2;1;4
PARANACITY;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
PARANAGUÁ;2ª Vara Cível;0;1;0;1
PARANAGUÁ;2ª Vara Criminal;1;3;0;4
PARANAGUÁ;Vara da Fazenda Pública;0;9;0;9
PARANAGUÁ;Vara de Família e Sucessões;1;3;0;4
